MSE,RMSE,MAE,R2_Score,Directional_Accuracy,Model,Fold,Stock
0.0004009086200142,0.020022702615138,0.0161738330862339,-1.1397864688730568,0.5079365079365079,Naive,7,MSFT
0.0002143402876087,0.0146403650094094,0.0111112767779581,-0.1440074477401729,0.5555555555555556,Ridge_Regression,7,MSFT
0.0001843007646619,0.0135757417720717,0.010459863996765,0.0163237637229515,0.5396825396825397,Random_Forest,7,MSFT
0.000200103468718,0.0141457933223306,0.010983362723416,-0.0680206744427587,0.5396825396825397,XGBoost,7,MSFT
0.0001890796352551,0.0137506230860684,0.0106047689120487,-0.0091827036394656,0.5079365079365079,LSTM,7,MSFT
0.0001909371113671,0.0138179995428854,0.0106098019069683,-0.0190966891524544,0.5079365079365079,GRU,7,MSFT
0.0002282029601546,0.0151063880578584,0.0117323680543517,-0.2179972739878821,0.5079365079365079,Transformer,7,MSFT
0.0001910642466915,0.0138225991293803,0.010568531857724,-0.019775253875707,0.5238095238095238,Stacked_Ensemble,7,MSFT
0.0004619218526487,0.0214923673114134,0.0172350343760056,-1.8259327183320275,0.4444444444444444,Naive,8,MSFT
0.0002235421742994,0.0149513268407657,0.0119199663507977,-0.3675801234720353,0.4285714285714285,Ridge_Regression,8,MSFT
0.0001694006323842,0.0130153998165342,0.0101077615295614,-0.0363544976617828,0.6349206349206349,Random_Forest,8,MSFT
0.0001865239388734,0.0136573767200518,0.0105533775459125,-0.141110987912931,0.492063492063492,XGBoost,8,MSFT
0.0001609439093462,0.0126863670665093,0.0096898682789137,0.0153818083518819,0.6666666666666666,LSTM,8,MSFT
0.0001644760476949,0.0128248215463209,0.009908040977695,-0.0062270098242194,0.6666666666666666,GRU,8,MSFT
0.0001766864055828,0.0132923438709227,0.0105991726264254,-0.0809271991745246,0.3333333333333333,Transformer,8,MSFT
0.0001700359535064,0.0130397834915469,0.0102002773557483,-0.0402412476293974,0.5079365079365079,Stacked_Ensemble,8,MSFT
0.0003080102967575,0.0175502221284392,0.0139199227205767,-1.1941328347836495,0.5396825396825397,Naive,9,MSFT
0.000147300078087,0.0121367243557329,0.0094002801819867,-0.0493023814439823,0.5238095238095238,Ridge_Regression,9,MSFT
0.0001458322009519,0.0120761004033558,0.009043288157791,-0.0388458562775224,0.5238095238095238,Random_Forest,9,MSFT
0.0001655856702458,0.0128680095681437,0.0097834198602887,-0.179561072732667,0.5555555555555556,XGBoost,9,MSFT
0.000142047240822,0.0119183573038429,0.0090507468860736,-0.0118834287654951,0.492063492063492,LSTM,9,MSFT
0.0001408373058168,0.0118674894487786,0.0090995279086953,-0.0032643723547314,0.492063492063492,GRU,9,MSFT
0.0001407306558649,0.0118629952315997,0.0091568130243798,-0.0025046439827063,0.492063492063492,Transformer,9,MSFT
0.0001411538510498,0.0118808186186729,0.008924460020506,-0.0055193044027357,0.5714285714285714,Stacked_Ensemble,9,MSFT
0.0002699609095508,0.0164304871976117,0.0130079811185466,-0.9652598262594544,0.4761904761904761,Naive,10,MSFT
